Title,Description,Link
E-mporium,E-Commerce Chatbot Assitant,https://www.youtube.com/watch?v=oO6GYrcyIxs&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=2
3DVFT, 3d Virtual Fitting Room Application, https://www.youtube.com/watch?v=QFFK0shrmoE&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=3
GATEWAY, Collabrative social network Application, https://www.youtube.com/watch?v=bF7OY1Wf0Qc&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=4
3aweni, Professional Social Network, https://www.youtube.com/watch?v=lTakKAia_Hs&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=5
BinoJs HR, HR virtual Assistant, https://www.youtube.com/watch?v=2Dp7lrsh9Ck&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=6
Edubot,Chatbot E-learning Application, https://www.youtube.com/watch?v=dByDh2KRqfs&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=7
KLASI, E-Leraning Application, https://www.youtube.com/watch?v=BDI54wC_Fn8&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=8
Closer, Smart Virtual Classroom Application, https://www.youtube.com/watch?v=eHOus6U68hE&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=9
Marvin Bot,Clinical Assessment Application, https://www.youtube.com/watch?v=Ov9WUkVLBNc&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=10
Wamya, Web application for smart delivery, https://www.youtube.com/watch?v=-0JGqEbclOk&list=PLXJJXeOTYp_bqeLHooeFkhQQUn3fmmSS7&index=11
